,antecedents,consequents
389,frozenset({135495}),frozenset({135492})
390,frozenset({135505}),frozenset({135492})
391,frozenset({135492}),frozenset({135505})
392,frozenset({135492}),frozenset({3216486})
393,frozenset({3216486}),frozenset({135492})
394,frozenset({135492}),frozenset({3336149})
395,frozenset({3336149}),frozenset({135492})
396,frozenset({135493}),frozenset({135494})
397,frozenset({135494}),frozenset({135493})
398,frozenset({135493}),frozenset({135495})
399,frozenset({135495}),frozenset({135493})
400,frozenset({135501}),frozenset({135493})
401,frozenset({135493}),frozenset({135501})
402,frozenset({135493}),frozenset({135503})
403,frozenset({135503}),frozenset({135493})
404,frozenset({135505}),frozenset({135493})
405,frozenset({135493}),frozenset({135505})
406,frozenset({135506}),frozenset({135493})
407,frozenset({135493}),frozenset({135506})
408,frozenset({135507}),frozenset({135493})
409,frozenset({135493}),frozenset({135507})
410,frozenset({135493}),frozenset({135789})
411,frozenset({135789}),frozenset({135493})
412,frozenset({135493}),frozenset({3216486})
413,frozenset({3216486}),frozenset({135493})
414,frozenset({3336149}),frozenset({135493})
415,frozenset({135493}),frozenset({3336149})
416,frozenset({135494}),frozenset({135495})
417,frozenset({135495}),frozenset({135494})
418,frozenset({135505}),frozenset({135494})
419,frozenset({135494}),frozenset({135505})
420,frozenset({3216486}),frozenset({135494})
421,frozenset({135494}),frozenset({3216486})
422,frozenset({135505}),frozenset({135495})
423,frozenset({135495}),frozenset({135505})
424,frozenset({135495}),frozenset({761495})
425,frozenset({761495}),frozenset({135495})
426,frozenset({3216486}),frozenset({135495})
427,frozenset({135495}),frozenset({3216486})
428,frozenset({3336149}),frozenset({135495})
429,frozenset({135495}),frozenset({3336149})
430,frozenset({15021876}),frozenset({135495})
431,frozenset({135495}),frozenset({15021876})
432,frozenset({135505}),frozenset({3216486})
433,frozenset({3216486}),frozenset({135505})
434,frozenset({135505}),frozenset({3336149})
435,frozenset({3336149}),frozenset({135505})
436,frozenset({3336149}),frozenset({761495})
437,frozenset({761495}),frozenset({3336149})
438,frozenset({15157064}),frozenset({14481833})
439,frozenset({14481833}),frozenset({15157064})
440,frozenset({14481833}),frozenset({15192100})
441,frozenset({15192100}),frozenset({14481833})
442,frozenset({14675955}),frozenset({14671860})
443,frozenset({14671860}),frozenset({14675955})
444,frozenset({14671860}),frozenset({14980086})
445,frozenset({14980086}),frozenset({14671860})
446,frozenset({14671860}),frozenset({15192100})
447,frozenset({15192100}),frozenset({14671860})
448,frozenset({15194056}),frozenset({14671860})
449,frozenset({14671860}),frozenset({15194056})
450,frozenset({14675955}),frozenset({14980086})
451,frozenset({14980086}),frozenset({14675955})
452,frozenset({14675955}),frozenset({15192100})
453,frozenset({15192100}),frozenset({14675955})
454,frozenset({14760944}),frozenset({14752201})
455,frozenset({14752201}),frozenset({14760944})
456,frozenset({14790248}),frozenset({14782215})
457,frozenset({14782215}),frozenset({14790248})
458,frozenset({14790248}),frozenset({14929876})
459,frozenset({14929876}),frozenset({14790248})
460,frozenset({14790248}),frozenset({15280990})
461,frozenset({15280990}),frozenset({14790248})
